no_pesanan,order_date,sku,product,omset,customer_name,customer_phone,customer_city,packed_date,shipped_date,return_date,package_status,qty
ORD000001,2025-01-03 17:59:11,VTMMD60,vitaman madu 60 ml,50000,Raza Baba,8670549306,Depok,2025-01-03 18:47:11,2025-01-04 19:47:11,,Processed,2
ORD000002,2025-01-28 18:51:28,JDM,jelly drink madu,20000,Sana Rina,8270250630,Kupang,2025-01-28 20:32:28,2025-01-29 15:32:28,,On Delivery,2
ORD000003,2025-01-14 04:42:26,VTMMD60,vitaman madu 60 ml,50000,Fadi Sadi,8459286817,Magelang,2025-01-14 05:20:26,2025-01-15 07:20:26,,Delivered,1
ORD000004,2025-02-27 03:53:45,MDB120,maduboom 120 ml,23000,Rira Zadi Raza,8812957645,Samarinda,2025-02-27 06:31:45,2025-02-28 07:31:45,,On Delivery,1
ORD000005,2025-02-18 16:14:18,MDB120,maduboom 120 ml,23000,Riri Riza Rasa,8773388021,Denpasar,2025-02-18 17:13:18,2025-02-19 13:13:18,,Delivered,2
ORD000006,2025-02-27 13:20:55,JDM,jelly drink madu,20000,Kari Mona Dira,8403809293,Ngawi,2025-02-27 15:49:55,2025-02-27 20:49:55,,Processed,2
ORD000007,2025-02-02 06:21:57,MDB200,maduboom 200 ml,32000,Joza Mori,8168829892,Jepara,2025-02-02 07:42:57,2025-02-02 14:42:57,,Processed,1
ORD000008,2025-02-21 19:39:05,MDB200,maduboom 200 ml,32000,Miba Noti,8783732559,Buleleng,2025-02-21 20:33:05,2025-02-23 18:33:05,,Delivered,3
ORD000009,2025-02-05 16:40:50,VTM60,vitaman 60 ml,30000,Fadi Saba,8561085538,Boyolali,2025-02-05 19:19:50,2025-02-06 00:19:50,,Processed,2
ORD000010,2025-02-11 18:36:06,JDM,jelly drink madu,20000,Dijo Moba,8465476093,Sidoarjo,2025-02-11 19:34:06,2025-02-13 08:34:06,,On Delivery,2
ORD000011,2025-02-13 04:37:56,VTMMD60,vitaman madu 60 ml,50000,Mimo Rajo,8535456513,Yogyakarta,2025-02-13 06:38:56,2025-02-14 22:38:56,2025-02-16 22:38:56,Returned,2
ORD000012,2025-01-25 22:10:12,MDB200,maduboom 200 ml,32000,Naza Nano Mijo,8828606692,Blitar,2025-01-26 00:35:12,2025-01-26 12:35:12,,On Delivery,1
ORD000013,2025-02-25 11:03:15,MDB200,maduboom 200 ml,32000,Riti Tiri,8570251428,Karangasem,2025-02-25 12:14:15,2025-02-26 06:14:15,,Delivered,1
ORD000014,2025-01-29 07:53:00,VTM60,vitaman 60 ml,30000,Diti Nono Bajo,8501660791,Samarinda,2025-01-29 09:05:00,2025-01-29 19:05:00,,Delivered,1
ORD000015,2025-02-01 00:18:38,VTM60,vitaman 60 ml,30000,Rali Joba,8502268047,Madiun,2025-02-01 01:05:38,2025-02-02 23:05:38,,On Delivery,2
ORD000016,2025-01-20 17:09:32,MDB200,maduboom 200 ml,32000,Mona Safa Rasa,8900283725,Tegal,2025-01-20 18:46:32,2025-01-22 05:46:32,,On Delivery,1
ORD000017,2025-01-25 15:09:06,MDB120,maduboom 120 ml,23000,Jodi Fadi Miti,8446677665,Pekanbaru,2025-01-25 17:42:06,2025-01-26 01:42:06,,On Delivery,1
ORD000018,2025-01-10 05:29:21,VTMMD60,vitaman madu 60 ml,50000,Mona Fati Noli,8805962314,Bangli,2025-01-10 08:01:21,2025-01-11 08:01:21,,Processed,1
ORD000019,2025-01-10 18:57:24,MDB200,maduboom 200 ml,32000,Miba Mona Modi,8142928390,Yogyakarta,2025-01-10 20:41:24,2025-01-12 10:41:24,,On Delivery,1
ORD000020,2025-01-05 13:54:00,MDB120,maduboom 120 ml,23000,Tiri Badi Tiza,8674538664,Kudus,2025-01-05 15:31:00,2025-01-06 22:31:00,,Processed,2
ORD000021,2025-02-17 20:44:40,MDB120,maduboom 120 ml,23000,Moti Nofa,8761704550,Jayapura,2025-02-17 23:18:40,2025-02-18 10:18:40,,Processed,3
ORD000022,2025-01-21 14:19:48,VTMMD60,vitaman madu 60 ml,50000,Fari Modi Sali,8318470319,Jayapura,2025-01-21 15:02:48,2025-01-22 22:02:48,,Processed,2
ORD000023,2025-01-27 14:52:17,JDM,jelly drink madu,20000,Jora Ridi Saba,8341147584,Mataram,2025-01-27 17:44:17,2025-01-29 06:44:17,,Processed,1
ORD000024,2025-02-19 03:55:04,VTM60,vitaman 60 ml,30000,Dira Lika,8649343267,Semarang,2025-02-19 06:23:04,2025-02-20 16:23:04,2025-02-22 16:23:04,Returned,1
ORD000025,2025-01-11 02:51:20,MDB120,maduboom 120 ml,23000,Ridi Kaba,8190703533,Cikarang,2025-01-11 05:42:20,2025-01-12 00:42:20,,Delivered,1
ORD000026,2025-02-26 01:10:51,VTM60,vitaman 60 ml,30000,Raza Didi Zasa,8887309058,Singaraja,2025-02-26 03:30:51,2025-02-26 17:30:51,2025-03-02 17:30:51,Returned,3
ORD000027,2025-02-14 23:42:27,VTM60,vitaman 60 ml,30000,Rana Nodi Faza,8506766812,Jembrana,2025-02-15 02:38:27,2025-02-16 19:38:27,,Processed,2
ORD000028,2025-01-10 21:16:17,MDB200,maduboom 200 ml,32000,Fasa Moka,8935814773,Kendari,2025-01-10 22:57:17,2025-01-11 11:57:17,,Delivered,3
ORD000029,2025-01-02 10:54:15,MDB200,maduboom 200 ml,32000,Diri Zano,8330336666,Klaten,2025-01-02 13:33:15,2025-01-03 19:33:15,,Delivered,1
ORD000030,2025-01-16 20:47:20,JDM,jelly drink madu,20000,Dimo Kaba Lidi,8183377665,Bengkulu,2025-01-16 21:48:20,2025-01-18 06:48:20,,On Delivery,1
ORD000031,2025-02-11 12:08:26,VTMMD60,vitaman madu 60 ml,50000,Rari Moba Rimo,8696192290,Yogyakarta,2025-02-11 14:02:26,2025-02-13 11:02:26,,Processed,3
ORD000032,2025-01-21 04:10:41,VTM60,vitaman 60 ml,30000,Naba Jori Samo,8388951620,Klaten,2025-01-21 04:57:41,2025-01-22 20:57:41,,On Delivery,1
ORD000033,2025-01-07 16:52:46,VTMMD60,vitaman madu 60 ml,50000,Rali Jona,8752994481,Balikpapan,2025-01-07 18:20:46,2025-01-08 16:20:46,,Processed,3
ORD000034,2025-02-09 04:52:07,VTM60,vitaman 60 ml,30000,Noka Mili,8817218579,Karangasem,2025-02-09 05:50:07,2025-02-10 09:50:07,,Delivered,2
ORD000035,2025-02-11 05:52:48,JDM,jelly drink madu,20000,Noli Mino Rasa,8419351599,Lombok Barat,2025-02-11 07:47:48,2025-02-11 18:47:48,,Processed,3
ORD000036,2025-01-17 19:27:37,VTM60,vitaman 60 ml,30000,Rino Lino Mili,8481123655,Singaraja,2025-01-17 22:12:37,2025-01-18 07:12:37,,On Delivery,1
ORD000037,2025-01-07 14:21:16,JDM,jelly drink madu,20000,Rasa Moti,8232272263,Denpasar,2025-01-07 16:53:16,2025-01-08 09:53:16,,Processed,3
ORD000038,2025-01-27 10:49:40,JDM,jelly drink madu,20000,Sana Joka,8444336728,Serang,2025-01-27 11:21:40,2025-01-29 03:21:40,2025-02-01 03:21:40,Returned,2
ORD000039,2025-01-27 00:53:29,MDB200,maduboom 200 ml,32000,Rali Lili Tidi,8614006510,Jayapura,2025-01-27 03:14:29,2025-01-29 02:14:29,,On Delivery,3
ORD000040,2025-01-26 18:34:14,MDB200,maduboom 200 ml,32000,Liti Dimo,8333398662,Manado,2025-01-26 21:29:14,2025-01-28 21:29:14,,Delivered,1
ORD000041,2025-01-05 19:47:04,MDB200,maduboom 200 ml,32000,Moti Riri Miza,8869928069,Banyuwangi,2025-01-05 21:57:04,2025-01-07 15:57:04,,On Delivery,1
ORD000042,2025-01-04 21:23:22,VTMMD60,vitaman madu 60 ml,50000,Sara Rino,8801048244,Larantuka,2025-01-04 21:55:22,2025-01-06 21:55:22,2025-01-09 21:55:22,Returned,1
ORD000043,2025-01-25 07:38:20,MDB200,maduboom 200 ml,32000,Rati Lina Bano,8143661977,Karangasem,2025-01-25 08:37:20,2025-01-26 12:37:20,,On Delivery,1
ORD000044,2025-01-06 18:59:38,MDB120,maduboom 120 ml,23000,Miri Sali Dina,8498097390,Samarinda,2025-01-06 19:47:38,2025-01-08 14:47:38,,Processed,1
ORD000045,2025-01-11 07:13:07,MDB120,maduboom 120 ml,23000,Sali Faza,8162404163,Tegal,2025-01-11 09:52:07,2025-01-11 14:52:07,2025-01-18 14:52:07,Returned,1
ORD000046,2025-01-20 11:27:50,MDB120,maduboom 120 ml,23000,Safa Disa Lina,8299263428,Samarinda,2025-01-20 12:22:50,2025-01-21 22:22:50,,Processed,2
ORD000047,2025-02-28 04:06:33,MDB120,maduboom 120 ml,23000,Kajo Tina,8329783346,Tegal,2025-02-28 06:30:33,2025-03-01 00:30:33,,Processed,2
ORD000048,2025-02-16 00:35:01,JDM,jelly drink madu,20000,Fali Liba Kafa,8706698216,Surabaya,2025-02-16 03:31:01,2025-02-16 23:31:01,,Processed,2
ORD000049,2025-02-04 20:28:35,MDB200,maduboom 200 ml,32000,Mono Midi Faba,8179158173,Situbondo,2025-02-04 21:20:35,2025-02-05 13:20:35,,Delivered,3
ORD000050,2025-02-09 17:10:13,VTMMD60,vitaman madu 60 ml,50000,Lijo Didi Sami,8414574613,Boyolali,2025-02-09 19:24:13,2025-02-11 10:24:13,,Processed,3
ORD000051,2025-01-17 17:02:31,JDM,jelly drink madu,20000,Namo Samo Kamo,8841200485,Balikpapan,2025-01-17 19:04:31,2025-01-18 12:04:31,,Delivered,3
ORD000052,2025-02-02 22:27:25,MDB200,maduboom 200 ml,32000,Moba Nafa Nati,8141708975,Banyuwangi,2025-02-03 00:32:25,2025-02-03 13:32:25,,Processed,3
ORD000053,2025-02-22 23:51:48,MDB200,maduboom 200 ml,32000,Liza Kasa Rano,8261827503,Ternate,2025-02-23 01:12:48,2025-02-24 18:12:48,2025-02-26 18:12:48,Returned,1
ORD000054,2025-01-13 07:28:12,MDB120,maduboom 120 ml,23000,Limo Nari,8159799549,Singkawang,2025-01-13 09:51:12,2025-01-14 19:51:12,2025-01-18 19:51:12,Returned,1
ORD000055,2025-02-26 02:16:49,MDB200,maduboom 200 ml,32000,Rati Jojo,8264296755,Kendari,2025-02-26 04:48:49,2025-02-26 12:48:49,2025-03-05 12:48:49,Returned,1
ORD000056,2025-01-12 02:14:41,VTMMD60,vitaman madu 60 ml,50000,Riti Diri Rili,8971641130,Madiun,2025-01-12 03:18:41,2025-01-12 23:18:41,2025-01-16 23:18:41,Returned,1
ORD000057,2025-02-09 22:11:11,VTM60,vitaman 60 ml,30000,Moti Misa Kali,8897381742,Bojonegoro,2025-02-10 00:43:11,2025-02-11 22:43:11,,Processed,2
ORD000058,2025-01-04 07:29:11,MDB200,maduboom 200 ml,32000,Limi Nara Ridi,8841796528,Lamongan,2025-01-04 08:11:11,2025-01-05 03:11:11,,Processed,2
ORD000059,2025-02-03 21:27:28,MDB200,maduboom 200 ml,32000,Risa Mono,8256280812,Pontianak,2025-02-03 22:36:28,2025-02-05 16:36:28,,Delivered,3
ORD000060,2025-01-14 04:05:22,MDB120,maduboom 120 ml,23000,Naba Rara,8291707181,Mataram,2025-01-14 05:36:22,2025-01-15 00:36:22,,Delivered,2
ORD000061,2025-01-23 07:35:48,MDB200,maduboom 200 ml,32000,Bati Nami,8287840152,Bangli,2025-01-23 10:21:48,2025-01-23 22:21:48,,Delivered,2
ORD000062,2025-01-07 18:21:18,VTM60,vitaman 60 ml,30000,Nara Nona Rifa,8757640840,Gorontalo,2025-01-07 19:49:18,2025-01-08 09:49:18,,Processed,1
ORD000063,2025-02-14 23:41:27,MDB120,maduboom 120 ml,23000,Jora Moba Timo,8207764495,Ponorogo,2025-02-15 00:18:27,2025-02-15 05:18:27,,On Delivery,3
ORD000064,2025-01-12 12:05:44,MDB120,maduboom 120 ml,23000,Rili Lili Fami,8855718576,Bandar Lampung,2025-01-12 13:07:44,2025-01-14 11:07:44,,On Delivery,2
ORD000065,2025-01-20 04:22:40,MDB200,maduboom 200 ml,32000,Lidi Zaza,8535571186,Yogyakarta,2025-01-20 06:37:40,2025-01-22 06:37:40,,Processed,2
ORD000066,2025-01-17 09:04:59,VTMMD60,vitaman madu 60 ml,50000,Jora Baba Liza,8216125773,Boyolali,2025-01-17 11:26:59,2025-01-18 17:26:59,,Delivered,2
ORD000067,2025-01-01 14:45:54,MDB120,maduboom 120 ml,23000,Nojo Nadi,8423975404,Indramayu,2025-01-01 16:15:54,2025-01-03 08:15:54,2025-01-10 08:15:54,Returned,2
ORD000068,2025-01-30 01:16:08,VTMMD60,vitaman madu 60 ml,50000,Rijo Jori Sadi,8655492391,Jayapura,2025-01-30 03:24:08,2025-01-31 21:24:08,,Delivered,2
ORD000069,2025-01-06 07:34:32,VTM60,vitaman 60 ml,30000,Fari Zati,8577425640,Lombok Barat,2025-01-06 08:26:32,2025-01-07 11:26:32,,Delivered,3
ORD000070,2025-01-15 07:33:58,VTM60,vitaman 60 ml,30000,Lifa Nomo,8549376901,Maumere,2025-01-15 08:26:58,2025-01-15 22:26:58,,Processed,3
ORD000071,2025-02-11 13:40:30,MDB120,maduboom 120 ml,23000,Tino Difa,8673500297,Palu,2025-02-11 14:59:30,2025-02-12 22:59:30,,On Delivery,1
